ID,title,category,target,weapon,killedinac,injured,datetimest,MGRS,GARS,GEOREF,USNG,UTM
156,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,5,9,8/4/2014 0:00,10SFF0023750267,117LP35,DJPG0723535558,10S FF 00237 50267,10S 600236 4050267
157,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,9,8/4/2014 0:00,10SFF0037650419,117LP35,DJPG0733035639,10S FF 00376 50419,10S 600375 4050418
158,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,8,8/4/2014 0:00,10SEF9900549202,117LP38,DJPG0640134990,10S EF 99005 49202,10S 599005 4049202
159,IED EXPLOSION RPT,IED,Friendly,CWIED,2,2,8/4/2014 0:00,10SFF0472853679,117LP36,DJPG1027537374,10S FF 04728 53679,10S 604728 4053679
160,DETAIN RPT,Detain,Enemy,Unknown,6,2,8/4/2014 0:00,10SEF9650453335,117LP34,DJPG0475537240,10S EF 96504 53335,10S 596504 4053334
161,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,8/4/2014 0:00,10SFF0277549715,117LP35,DJPG0893335243,10S FF 02775 49715,10S 602775 4049714
162,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,8/4/2014 0:00,10SFF0036749556,117LP35,DJPG0731735172,10S FF 00367 49556,10S 600367 4049555
163,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,2,8/4/2014 0:00,10SEF9615153607,117LP34,DJPG0452037389,10S EF 96151 53607,10S 596150 4053606
164,IED EXPLOSION RPT,IED,Friendly,Unknown,3,0,8/4/2014 0:00,10SEF9543251174,117LP34,DJPG0402036078,10S EF 95432 51174,10S 595432 4051174
165,DETAIN RPT,Detain,Neutral,Unknown,6,1,8/4/2014 0:00,10SFF0357152700,117LP35,DJPG0949136852,10S FF 03571 52700,10S 603570 4052700
166,DETAIN RPT,Detain,Enemy,Unknown,5,8,8/4/2014 0:00,10SEF9911949178,117LP38,DJPG0647734976,10S EF 99119 49178,10S 599119 4049178
167,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,8/4/2014 0:00,10SEF9769750653,117LP35,DJPG0553535782,10S EF 97697 50653,10S 597697 4050653
168,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,2,8/4/2014 0:00,10SFF0461054177,117LP36,DJPG1020037644,10S FF 04610 54177,10S 604610 4054177
169,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,5,8/4/2014 0:00,10SEF9612145941,117LP37,DJPG0444333244,10S EF 96121 45941,10S 596121 4045941
170,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,1,8/5/2014 0:00,10SEF9623553200,117LP34,DJPG0457437168,10S EF 96235 53200,10S 596235 4053199
171,ATTACK RPT,Attack,Friendly,Small Arms,9,1,8/5/2014 0:00,10SFF0408053190,117LP35,DJPG0983637114,10S FF 04080 53190,10S 604079 4053189
172,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,4,8/5/2014 0:00,10SEF9732644910,117LP38,DJPG0524332679,10S EF 97326 44910,10S 597326 4044910
173,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,5,8/5/2014 0:00,10SEF9665845781,117LP37,DJPG0480133154,10S EF 96658 45781,10S 596658 4045780
174,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,9,8/5/2014 0:00,10SFF0365150447,117LP35,DJPG0952735633,10S FF 03651 50447,10S 603651 4050446
175,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,8,8/5/2014 0:00,10SFF0455049768,117LP36,DJPG1012435260,10S FF 04550 49768,10S 604549 4049768
176,ARREST RPT,Arrest,Enemy,Unknown,5,1,8/5/2014 0:00,10SEF9540553100,117LP34,DJPG0401637119,10S EF 95405 53100,10S 595405 4053099
177,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,1,8/5/2014 0:00,10SFF0368252593,117LP35,DJPG0956536793,10S FF 03682 52593,10S 603682 4052592
178,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/5/2014 0:00,10SEF9765650732,117LP35,DJPG0550835825,10S EF 97656 50732,10S 597655 4050731
179,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,8,1,8/5/2014 0:00,10SEF9638652284,117LP34,DJPG0466836672,10S EF 96386 52284,10S 596385 4052284
180,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/5/2014 0:00,10SFF0032849789,117LP35,DJPG0729335299,10S FF 00328 49789,10S 600327 4049789
181,IED EXPLOSION RPT,IED,Friendly,VOIED,0,5,8/27/2014 0:00,10SEF9632846188,117LP37,DJPG0458333376,10S EF 96328 46188,10S 596327 4046187
182,IED EXPLOSION RPT,IED,Friendly,VOIED,0,1,8/27/2014 0:00,10SEF9749952795,117LP35,DJPG0541936942,10S EF 97499 52795,10S 597499 4052795
183,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,9,8/27/2014 0:00,10SFF0364850465,117LP35,DJPG0952535643,10S FF 03648 50465,10S 603648 4050465
184,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,1,8/27/2014 0:00,10SEF9722152382,117LP35,DJPG0522936720,10S EF 97221 52382,10S 597221 4052381
185,IED EXPLOSION RPT,IED,Friendly,Unknown,5,6,8/27/2014 0:00,10SEF9701947312,117LP38,DJPG0505533979,10S EF 97019 47312,10S 597019 4047311
186,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,3,5,8/27/2014 0:00,10SEF9727146136,117LP38,DJPG0521533342,10S EF 97271 46136,10S 597270 4046136
187,IED EXPLOSION RPT,IED,Friendly,Unknown,1,0,8/27/2014 0:00,10SFF0429951660,117LP35,DJPG0997136285,10S FF 04299 51660,10S 604299 4051660
188,ATTACK RPT,Attack,Friendly,Small Arms,0,2,8/27/2014 0:00,10SEF9611253684,117LP34,DJPG0449437431,10S EF 96112 53684,10S 596111 4053683
189,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,1,8/27/2014 0:00,10SEF9569053139,117LP34,DJPG0420737139,10S EF 95690 53139,10S 595689 4053138
190,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,4,8/27/2014 0:00,10SEF9672945204,117LP37,DJPG0484532841,10S EF 96729 45204,10S 596728 4045203
191,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,1,8/27/2014 0:00,10SFF0504553198,117LP36,DJPG1048437112,10S FF 05045 53198,10S 605044 4053198
192,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/27/2014 0:00,10SEF9338351294,117LP34,DJPG0264636155,10S EF 93383 51294,10S 593383 4051294
193,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/27/2014 0:00,10SFF0254752005,117LP35,DJPG0879936482,10S FF 02547 52005,10S 602547 4052004
194,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,2,9,8/27/2014 0:00,10SFF0132250900,117LP35,DJPG0796835893,10S FF 01322 50900,10S 601322 4050900
195,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,1,8/27/2014 0:00,10SEF9728852258,117LP35,DJPG0527336653,10S EF 97288 52258,10S 597288 4052258
196,IED EXPLOSION RPT,IED,Friendly,CWIED,3,2,8/27/2014 0:00,10SFF0467953970,117LP36,DJPG1024537532,10S FF 04679 53970,10S 604679 4053970
197,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,9,8/27/2014 0:00,10SEF9944250923,117LP35,DJPG0670835918,10S EF 99442 50923,10S 599442 4050923
198,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,1,8/27/2014 0:00,10SEF9670952896,117LP34,DJPG0488937001,10S EF 96709 52896,10S 596709 4052896
199,IED EXPLOSION RPT,IED,Friendly,RCIED,9,9,8/27/2014 0:00,10SEF9875750040,117LP35,DJPG0624135444,10S EF 98757 50040,10S 598756 4050040
200,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,8,8/27/2014 0:00,10SFF0457449722,117LP36,DJPG1014035235,10S FF 04574 49722,10S 604574 4049721
201,DETAIN RPT,Detain,Enemy,Unknown,4,9,8/27/2014 0:00,10SFF0282050183,117LP35,DJPG0896735496,10S FF 02820 50183,10S 602819 4050183
202,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,1,9,8/27/2014 0:00,10SFF0325350964,117LP35,DJPG0926435915,10S FF 03253 50964,10S 603252 4050964
203,IED EXPLOSION RPT,IED,Friendly,VOIED,5,9,8/27/2014 0:00,10SEF9324750807,117LP34,DJPG0255135892,10S EF 93247 50807,10S 593246 4050807
204,IED EXPLOSION RPT,IED,Friendly,VOIED,9,2,8/27/2014 0:00,10SFF0471253475,117LP36,DJPG1026337264,10S FF 04712 53475,10S 604711 4053475
205,IED EXPLOSION RPT,IED,Friendly,VOIED,2,0,8/28/2014 0:00,10SFF0431251161,117LP35,DJPG0997536015,10S FF 04312 51161,10S 604311 4051160
206,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/28/2014 0:00,10SEF9607651744,117LP34,DJPG0445636382,10S EF 96076 51744,10S 596076 4051743
207,ASSASSINATION,Assassination,Neutral,Small Arms,1,9,8/28/2014 0:00,10SFF0406450800,117LP35,DJPG0980635821,10S FF 04064 50800,10S 604063 4050800
208,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,9,8/28/2014 0:00,10SEF9928150443,117LP35,DJPG0659635659,10S EF 99281 50443,10S 599281 4050442
209,SURVEILLANCE RPT,Surveillance,Friendly,Unknown,9,9,8/28/2014 0:00,10SFF0027250267,117LP35,DJPG0725935558,10S FF 00272 50267,10S 600271 4050267
210,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,8,8,8/28/2014 0:00,10SFF0102849713,117LP35,DJPG0776235253,10S FF 01028 49713,10S 601027 4049712
211,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,9,8/28/2014 0:00,10SEF9848950084,117LP35,DJPG0606235470,10S EF 98489 50084,10S 598488 4050084
212,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,0,8/28/2014 0:00,10SEF9635751961,117LP34,DJPG0464636498,10S EF 96357 51961,10S 596357 4051961
213,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/28/2014 0:00,10SEF9339750711,117LP34,DJPG0265135839,10S EF 93397 50711,10S 593397 4050711
214,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,7,8/28/2014 0:00,10SEF9731248248,117LP38,DJPG0525834484,10S EF 97312 48248,10S 597311 4048248
215,IED EXPLOSION RPT,IED,Friendly,VOIED,0,0,8/28/2014 0:00,10SFF0444851655,117LP36,DJPG1007136281,10S FF 04448 51655,10S 604448 4051654
216,ATTACK RPT,Attack,Friendly,Hand Grenade,9,9,8/28/2014 0:00,10SFF0305850174,117LP35,DJPG0912735489,10S FF 03058 50174,10S 603057 4050174
217,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,9,8/28/2014 0:00,10SEF9909450204,117LP35,DJPG0646935531,10S EF 99094 50204,10S 599094 4050204
218,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,0,8/28/2014 0:00,10SEF9629852068,117LP34,DJPG0460736556,10S EF 96298 52068,10S 596298 4052068
219,ARREST RPT,Arrest,Enemy,Unknown,3,4,8/28/2014 0:00,10SEF9641544916,117LP37,DJPG0463232687,10S EF 96415 44916,10S 596415 4044915
220,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,1,9,8/28/2014 0:00,10SFF0221950500,117LP35,DJPG0856735671,10S FF 02219 50500,10S 602219 4050500
221,DIRECT FIRE RPT,Direct Fire,Friendly,VOIED,0,1,8/28/2014 0:00,10SFF0410553073,117LP35,DJPG0985237050,10S FF 04105 53073,10S 604105 4053072
222,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,4,2,8/28/2014 0:00,10SFF0468554084,117LP36,DJPG1025037593,10S FF 04685 54084,10S 604685 4054083
223,IED EXPLOSION RPT,IED,Friendly,VOIED,8,1,8/29/2014 0:00,10SFF0521353063,117LP36,DJPG1059637037,10S FF 05213 53063,10S 605213 4053062
224,IED EXPLOSION RPT,IED,Friendly,VOIED,0,2,8/29/2014 0:00,10SFF0468554084,117LP36,DJPG1025037593,10S FF 04685 54084,10S 604685 4054083
225,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,9,8/29/2014 0:00,10SFF0320750070,117LP35,DJPG0922635432,10S FF 03207 50070,10S 603207 4050069
226,IED EXPLOSION RPT,IED,Friendly,VOIED,1,2,8/29/2014 0:00,10SFF0437054314,117LP36,DJPG1004037720,10S FF 04370 54314,10S 604370 4054314
227,DIRECT FIRE RPT,Direct Fire,Friendly,VOIED,8,0,8/29/2014 0:00,10SFF0217851344,117LP35,DJPG0854636128,10S FF 02178 51344,10S 602177 4051344
228,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,1,8/29/2014 0:00,10SEF9599453014,117LP34,DJPG0441137069,10S EF 95994 53014,10S 595994 4053014
229,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/29/2014 0:00,10SEF9769750653,117LP35,DJPG0553535782,10S EF 97697 50653,10S 597697 4050653
230,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,9,6,8/29/2014 0:00,10SEF9687046650,117LP37,DJPG0495033622,10S EF 96870 46650,10S 596870 4046650
231,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,1,1,8/29/2014 0:00,10SFF0352052844,117LP35,DJPG0945836930,10S FF 03520 52844,10S 603519 4052844
232,IED EXPLOSION RPT,IED,Friendly,VOIED,1,9,8/29/2014 0:00,10SFF0457150789,117LP36,DJPG1014635812,10S FF 04571 50789,10S 604570 4050789
233,SAFIRE RPT,Small Arms Fire,Friendly,Small Arms,1,5,8/30/2014 0:00,10SEF9592645739,117LP37,DJPG0431033135,10S EF 95926 45739,10S 595926 4045738
234,(COUNTER-INSURGENCY) DEFECTING RPT,Other,Friendly,Unknown,9,6,8/30/2014 0:00,10SEF9690347446,117LP37,DJPG0497834052,10S EF 96903 47446,10S 596902 4047445
235,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,8,8/30/2014 0:00,10SFF0046449805,117LP35,DJPG0738435306,10S FF 00464 49805,10S 600464 4049805
236,IED EXPLOSION RPT,IED,Friendly,RCIED,9,8,8/30/2014 0:00,10SFF0202649742,117LP35,DJPG0843135262,10S FF 02026 49742,10S 602025 4049742
237,IED EXPLOSION RPT,IED,Friendly,VOIED,0,2,8/30/2014 0:00,10SFF0475353531,117LP36,DJPG1029137293,10S FF 04753 53531,10S 604753 4053530
238,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,9,8/30/2014 0:00,10SFF0272350270,117LP35,DJPG0890335544,10S FF 02723 50270,10S 602723 4050270
239,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,5,9,8/30/2014 0:00,10SEF9843350788,117LP35,DJPG0603035851,10S EF 98433 50788,10S 598433 4050788
240,ATTACK RPT,Attack,Neutral,Small Arms,9,6,8/30/2014 0:00,10SEF9690347446,117LP37,DJPG0497834052,10S EF 96903 47446,10S 596902 4047445
241,DETAIN RPT,Detain,Enemy,Unknown,9,8,12/25/2014 0:00,10SFF0046449876,117LP35,DJPG0738535345,10S FF 00464 49876,10S 600464 4049876
242,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,9,8/30/2014 0:00,10SFF0379750733,117LP35,DJPG0962735787,10S FF 03797 50733,10S 603796 4050732
243,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,8/30/2014 0:00,10SFF0380350560,117LP35,DJPG0962935693,10S FF 03803 50560,10S 603803 4050560
244,SAFIRE RPT,Small Arms Fire,Neutral,Small Arms,1,0,8/30/2014 0:00,10SFF0137151335,117LP35,DJPG0800536128,10S FF 01371 51335,10S 601371 4051334
245,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,9,8/30/2014 0:00,10SFF0212650553,117LP35,DJPG0850435700,10S FF 02126 50553,10S 602125 4050553
246,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,9,9,8/30/2014 0:00,10SFF0183850975,117LP35,DJPG0831535930,10S FF 01838 50975,10S 601838 4050974
247,ATTACK RPT,Attack,Enemy,GPMG,1,0,8/30/2014 0:00,10SEF9808751235,117LP35,DJPG0580136094,10S EF 98087 51235,10S 598087 4051234
248,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,1,8/30/2014 0:00,10SFF0338753071,117LP35,DJPG0937137054,10S FF 03387 53071,10S 603386 4053071
249,MINE STRIKE RPT,Mine,Neutral,Mine,5,9,8/31/2014 0:00,10SFF0461750576,117LP36,DJPG1017535696,10S FF 04617 50576,10S 604616 4050575
250,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,0,8/31/2014 0:00,10SFF0191552022,117LP35,DJPG0837536496,10S FF 01915 52022,10S 601914 4052021
251,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,1,8/31/2014 0:00,10SEF9763652642,117LP35,DJPG0550936858,10S EF 97636 52642,10S 597636 4052641
252,IED EXPLOSION RPT,IED,Friendly,VOIED,8,2,8/31/2014 0:00,10SEF9725053383,117LP35,DJPG0525637261,10S EF 97250 53383,10S 597249 4053382
253,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,0,9,8/31/2014 0:00,10SEF9392650258,117LP34,DJPG0300335592,10S EF 93926 50258,10S 593926 4050258
254,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,2,5,8/31/2014 0:00,10SEF9665845781,117LP37,DJPG0480133154,10S EF 96658 45781,10S 596658 4045780
255,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,1,8/31/2014 0:00,10SEF9652652374,117LP34,DJPG0476336720,10S EF 96526 52374,10S 596526 4052374
256,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,0,1,8/31/2014 0:00,10SFF0480852622,117LP36,DJPG1032036802,10S FF 04808 52622,10S 604808 4052621
257,DIRECT FIRE RPT,Direct Fire,Friendly,Mortar,9,8,8/31/2014 0:00,10SFF0441249968,117LP36,DJPG1003335369,10S FF 04412 49968,10S 604411 4049967
258,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,5,8/31/2014 0:00,10SEF9683345617,117LP37,DJPG0491733064,10S EF 96833 45617,10S 596833 4045616
259,DETAIN RPT,Detain,Enemy,Unknown,1,9,8/31/2014 0:00,10SEF9900650379,117LP35,DJPG0641135626,10S EF 99006 50379,10S 599006 4050378
260,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/31/2014 0:00,10SEF9865951248,117LP35,DJPG0618536098,10S EF 98659 51248,10S 598658 4051248
261,DETAIN RPT,Detain,Enemy,Unknown,5,2,8/31/2014 0:00,10SEF9523754140,117LP34,DJPG0391137683,10S EF 95237 54140,10S 595237 4054140
262,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,0,8/31/2014 0:00,10SEF9607651233,117LP34,DJPG0445236106,10S EF 96076 51233,10S 596076 4051233
263,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/31/2014 0:00,10SFF0169149566,117LP35,DJPG0820535169,10S FF 01691 49566,10S 601691 4049565
264,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,8/31/2014 0:00,10SFF0096349808,117LP35,DJPG0771835305,10S FF 00963 49808,10S 600962 4049808
265,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,7,8/31/2014 0:00,10SEF9707848607,117LP38,DJPG0510534679,10S EF 97078 48607,10S 597078 4048606
266,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/31/2014 0:00,10SEF9844749791,117LP35,DJPG0603135312,10S EF 98447 49791,10S 598446 4049791
267,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,0,8/31/2014 0:00,10SFF0437051315,117LP36,DJPG1001536098,10S FF 04370 51315,10S 604369 4051315
268,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,6,4,8/31/2014 0:00,10SEF9626645428,117LP37,DJPG0453632965,10S EF 96266 45428,10S 596265 4045427
269,DISTURBANCE,Disturbance,Enemy,Small Arms,0,1,8/31/2014 0:00,10SFF0451452537,117LP36,DJPG1012236758,10S FF 04514 52537,10S 604513 4052537
270,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,,9,0,8/31/2014 0:00,10SFF0114451437,117LP35,DJPG0785336185,10S FF 01144 51437,10S 601143 4051436
271,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,2,8/31/2014 0:00,10SFF0473253509,117LP36,DJPG1027737282,10S FF 04732 53509,10S 604732 4053508
272,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/31/2014 0:00,10SFF0134050893,117LP35,DJPG0798035889,10S FF 01340 50893,10S 601339 4050893
273,IED EXPLOSION RPT,IED,Friendly,CWIED,9,9,8/31/2014 0:00,10SEF9633150196,117LP34,DJPG0461535543,10S EF 96331 50196,10S 596330 4050195
274,IED EXPLOSION RPT,IED,Friendly,VOIED,0,2,9/1/2014 0:00,10SFF0301953430,117LP35,DJPG0912737250,10S FF 03019 53430,10S 603019 4053429
275,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,4,9/1/2014 0:00,10SEF9677145202,117LP37,DJPG0487332840,10S EF 96771 45202,10S 596771 4045202
276,IED EXPLOSION RPT,IED,Friendly,RCIED,0,9,9/1/2014 0:00,10SFF0349950676,117LP35,DJPG0942635758,10S FF 03499 50676,10S 603498 4050675
277,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,9,8,9/1/2014 0:00,10SFF0046449781,117LP35,DJPG0738435293,10S FF 00464 49781,10S 600464 4049780
278,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,2,9/1/2014 0:00,10SFF0486053659,117LP36,DJPG1036437362,10S FF 04860 53659,10S 604860 4053658
279,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,6,9/1/2014 0:00,10SEF9677746646,117LP37,DJPG0488833621,10S EF 96777 46646,10S 596776 4046646
280,IED EXPLOSION RPT,IED,Friendly,CWIED,1,9,9/1/2014 0:00,10SFF0108150361,117LP35,DJPG0780335603,10S FF 01081 50361,10S 601081 4050360
281,DISTURBANCE,Disturbance,Friendly,Small Arms,0,9,9/1/2014 0:00,10SEF9848050185,117LP35,DJPG0605635524,10S EF 98480 50185,10S 598479 4050184
282,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,4,9/1/2014 0:00,10SEF9603844974,117LP37,DJPG0438032721,10S EF 96038 44974,10S 596037 4044974
283,IED EXPLOSION RPT,IED,Friendly,RCIED,0,2,9/1/2014 0:00,10SEF9677053419,117LP34,DJPG0493437283,10S EF 96770 53419,10S 596769 4053418
284,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,1,9/1/2014 0:00,10SFF0415952682,117LP35,DJPG0988536838,10S FF 04159 52682,10S 604158 4052681
285,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,0,9/1/2014 0:00,10SFF0105651218,117LP35,DJPG0779236067,10S FF 01056 51218,10S 601055 4051218
286,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,8,9/1/2014 0:00,10SEF9864649113,117LP38,DJPG0616034943,10S EF 98646 49113,10S 598646 4049112
287,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,9,9/1/2014 0:00,10SFF0192450887,117LP35,DJPG0837235882,10S FF 01924 50887,10S 601924 4050886
288,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,2,8,9/1/2014 0:00,10SFF0463549415,117LP36,DJPG1017835068,10S FF 04635 49415,10S 604634 4049414
289,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,0,9/1/2014 0:00,10SFF0375651329,117LP35,DJPG0960436110,10S FF 03756 51329,10S 603755 4051329
290,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,4,0,9/2/2014 0:00,10SFF0197351173,117LP35,DJPG0840736037,10S FF 01973 51173,10S 601973 4051173
291,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,1,9/2/2014 0:00,10SEF9713252585,117LP35,DJPG0517136830,10S EF 97132 52585,10S 597132 4052584
292,ARSON,Arson,Friendly,Small Arms,5,0,9/2/2014 0:00,10SEF9861251542,117LP35,DJPG0615536257,10S EF 98612 51542,10S 598611 4051541
293,IED EXPLOSION RPT,IED,Friendly,VOIED,9,5,9/2/2014 0:00,10SEF9635945695,117LP37,DJPG0460033109,10S EF 96359 45695,10S 596358 4045695
294,DIRECT FIRE RPT,Direct Fire,Friendly,VOIED,9,9,9/2/2014 0:00,10SEF9906750083,117LP35,DJPG0644935465,10S EF 99067 50083,10S 599066 4050082
295,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,0,0,9/2/2014 0:00,10SFF0488051295,117LP36,DJPG1035836084,10S FF 04880 51295,10S 604879 4051295
296,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,6,9/2/2014 0:00,10SEF9707646682,117LP38,DJPG0508933639,10S EF 97076 46682,10S 597076 4046682
297,(COUNTER-INSURGENCY) DEFECTING RPT,Other,Friendly,Unknown,9,0,9/2/2014 0:00,10SFF0442851277,117LP36,DJPG1005436077,10S FF 04428 51277,10S 604427 4051277
298,IED EXPLOSION RPT,IED,Friendly,VOIED,0,9,9/2/2014 0:00,10SFF0137350826,117LP35,DJPG0800235853,10S FF 01373 50826,10S 601373 4050825
299,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,0,9/2/2014 0:00,10SFF0445752216,117LP36,DJPG1008136585,10S FF 04457 52216,10S 604456 4052216
300,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,6,9/2/2014 0:00,10SEF9703347329,117LP38,DJPG0506433989,10S EF 97033 47329,10S 597032 4047329
301,MINE STRIKE RPT,Mine,Neutral,Mine,9,8,9/2/2014 0:00,10SFF0313449354,117LP35,DJPG0917135045,10S FF 03134 49354,10S 603133 4049353
302,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,0,9/2/2014 0:00,10SFF0223351174,117LP35,DJPG0858236035,10S FF 02233 51174,10S 602233 4051173
303,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,4,9/2/2014 0:00,10SEF9677145202,117LP37,DJPG0487332840,10S EF 96771 45202,10S 596771 4045202
304,IED EXPLOSION RPT,IED,Friendly,Unknown,2,9,9/2/2014 0:00,10SEF9803949979,117LP35,DJPG0575935415,10S EF 98039 49979,10S 598038 4049978
305,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,1,9/2/2014 0:00,10SEF9661352389,117LP34,DJPG0482136728,10S EF 96613 52389,10S 596613 4052389
306,IED EXPLOSION RPT,IED,Neutral,CWIED,9,3,9/2/2014 0:00,10SEF9597454697,117LP34,DJPG0440937980,10S EF 95974 54697,10S 595973 4054697
307,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,9,1,9/2/2014 0:00,10SEF9736452626,117LP35,DJPG0532636851,10S EF 97364 52626,10S 597363 4052626
308,IED EXPLOSION RPT,IED,Friendly,CWIED,9,9,9/2/2014 0:00,10SEF9854550978,117LP35,DJPG0610635953,10S EF 98545 50978,10S 598545 4050977
