AttackMode,Target,TargetSect,TGTType,TargetSubt,TargetNati,Inside,SuicideAtt,CounterAtt,AttackScal,NoAttacks,DMGScale,DMGDetail,EventTitle,TargetGrou,TargetType,TargetReqi,TargetCoun,NonTargetF,TargetFata,TotalFatal,NonTargetW,TargetWoun,TotalWound,Hostages,Injuries,Notes,Source,Descriptio,EvID,Location,Event_DESC
Standoff Weapon,US Soldiers,Military,People,Group,United States,N,N,Other,Micro,0,No known physical damage,None,Mortar fired at US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,1,0,1,0,Minor injury,,US Military,Mortar was fired at US Soldiers. 4 people were killed in the attack. One individual suffered minor injuries.,77,41SNU9427105185,Mortar
Ambush,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Macro,0,Damage to a vehicle,Vehicle engine damaged in attack,Taliban attacks Afghan Security Post,Taliban,Militant Islamist,South Asia,Afghanistan,7,8,15,1,2,3,0,Major injury,Target killed in counterattack; Target wounded in counterattack;,Afghanistan Government,Afghan Security Post came under attack. 15 people were killed in the attack. 3 people suffered minor injuries.,78,41SQR3399793409,Attack
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,1,None,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Al-Qaeda.,79,41SPU5561603136,Kidnapping
Explosive Device,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Market,Market target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,5,0,5,0,Major injuries,,Afghanistan Government,Explosive device detonated. 2 people were killed in the attack. The attackers seriously injured 5 people.,80,42SWC0490288223,Bombing
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,1,None,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Al-Qaeda.,81,42STE4970769159,Kidnapping
Multimode Attack,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Grenades thrown at Afghan Security Post,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,3,0,3,0,Major and minor injuries,,Afghanistan Government,Grenades thrown at Afghan Security Post. One person was killed in the attack. 3 people suffered minor injuries.,82,41SNV4448008056,IDF/Grenade
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,3,0,3,0,Major and minor injuries,,Afghanistan Government,Drive by shooting occured. 3 people were killed in the attack. 3 people suffered minor injuries.,83,41RPR0608731603,Drive by Shooting
Ambush,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Market destroyed in attack,Arsonist sets fire to Market,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,1,0,1,0,Minor injury,,Afghanistan Government,An arsonist set fire to Market. 2 people were killed in the attack. One individual suffered minor injuries.,84,41SNV6257320748,Arson
Explosive Device,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,An explosive device was discovered and disarmed.,85,41SNT7136295310,IED Found/Cleared
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Macro,3,No known physical damage,None,Al-Qaeda attacks Afghan Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,5,4,9,0,Minor injuries,Target wounded in counterattack;,Afghanistan Government,Afghan Soldiers came under attack. 5 people were killed in the attack. 9 people suffered minor injuries.,86,42SVC3950518394,Attack
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,5,0,5,0,Minor injuries,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 5 people suffered minor injuries.,87,42STD8224686768,Booby Trapped Building
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,US Military Checkpoint target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,7,0,7,0,Major injuries,,US Military,Explosive device detonated. 3 people were killed in the attack. The attackers seriously injured 7 people.,88,42SUC6864396184,House Borne IED (HBIED) Explosion
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,89,41SNV6257420484,Unexploded Ordnance (UXO)
Explosive Device,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Other,Micro,1,No known physical damage,None,Grenades thrown at Afghan Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,2,0,2,0,Minor injuries,,Afghanistan Government,Grenades thrown at Afghan Soldiers. 5 people were killed in the attack. 2 people suffered minor injuries.,90,41RQR7030825348,Grenade
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Civilian murdered by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,91,41SQR4721087543,Murder
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,2,0,2,0,Minor injuries,,Afghanistan Government,Drive by shooting occured. 4 people were killed in the attack. 2 people suffered minor injuries.,92,41RNR5354538817,Drive by Shooting
Explosive Device,Afghan Security Post,Military,People,Random Selection,Afghanistan,N,N,Other,Micro,1,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Afghan Security Post target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,5,0,5,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack. 5 people suffered minor injuries.,93,42SVC1967150663,Mine
Explosive Device,US Military convoy,Military,People,Group,United States,N,N,Other,Micro,3,Damage to a vehicle,Vehicle exterior damaged in blast,Grenades thrown at US Military convoy,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,2,0,2,0,Major injuries,,US Military,Grenades thrown at US Military convoy. 4 people were killed in the attack. The attackers seriously injured 2 people.,94,41SPT8128454887,Grenade
Ambush,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Taliban attacks Afghan Police,Taliban,Militant Islamist,South Asia,Afghanistan,1,1,2,0,0,0,0,None,Target killed in counterattack;,Afghanistan Government,Afghan Police came under attack. 2 people were killed in the attack.,95,41SPU2301782381,Attack
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,1,No known physical damage,None,Afghan Soldiersambushed by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,2,3,5,1,4,5,1,Minor injury,Target killed in counterattack; Hostages taken; Target wounded in counterattack;,Afghanistan Government,Suspected members of Taliban ambushed Afghan Soldiers. 5 people were killed in the attack. 5 people suffered minor injuries.,96,41SNU8963409438,Ambush
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,1,Minor injury,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,97,41SNT6123196312,Kidnapping
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Other,Micro,0,No known physical damage,None,Grenades thrown at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,2,0,2,0,Minor injuries,,US Military,Grenades thrown at US Military Checkpoint. One person was killed in the attack. 2 people suffered minor injuries.,98,42SUC2387759915,Grenade
Ambush,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,3,Damage to a vehicle,Vehicle engine damaged in attack,Combat between US Military convoy and members of Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,2,1,3,0,Major injuries,Target wounded in counterattack;,US Military,US Military convoy engaged in combat. 4 people were killed in the attack. The attackers seriously injured 3 people.,99,42SVC1356757792,Combat
Assault,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,Militants throw rocks at US Military convoy,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,US Military convoy attacked by group of rock throwing militants.,100,42STC8463919894,Rock Throwing
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Suicide vehicle born IED attacke,Taliban,Militant Islamist,South Asia,Afghanistan,5,1,6,2,0,2,0,Major and minor injuries,Suicide bomber killed in attack;,Afghanistan Government,A suicide bomber drove a vehicle into a crowded area. 6 people were killed in the attack. 2 people suffered minor injuries.,101,41SPV3803872349,Suicide Vehichile IED (SVBIED)
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Macro,3,No known physical damage,None,Taliban attacks Afghan Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,4,5,9,0,Minor injuries,Target wounded in counterattack;,Afghanistan Government,Afghan Soldiers came under attack. 2 people were killed in the attack. 9 people suffered minor injuries.,102,42SVE3707731042,Attack
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,2,0,2,0,Minor injuries,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 5 people were killed in the attack. 2 people suffered minor injuries.,103,41SPR5494798585,Booby Trapped Building
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,No known physical damage,None,Afghan Soldiers attacked by snipers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,104,41SNU9243305166,Sniper Ops
Other,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Macro,0,No known physical damage,None,Indirect fire attack,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,3,6,0,5,5,0,None,Target killed in counterattack; Target wounded in counterattack;,US Military,Indirect fire attack. 6 people were killed in the attack. 5 people suffered minor injuries.,105,42SUD9513977316,Indirect Fire (IDF)
Multimode Attack,US Soldiers,Military,People,Group,United States,N,N,Attack,Macro,2,No known physical damage,None,US Soldiers fired on byTaliban,Taliban,Militant Islamist,South Asia,Afghanistan,5,3,8,0,7,7,0,None,Target killed in counterattack; Target wounded in counterattack;,US Military,US Soldiers came under attack. 8 people were killed in the attack. 7 people suffered minor injuries.,106,42SXE5478326881,IDF/Small Arms Fire (SAF)
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Soldiersambushed by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,4,0,4,2,Minor injuries,Hostages taken;,Afghanistan Government,Suspected members of Taliban ambushed Afghan Soldiers. One person was killed in the attack. 4 people suffered minor injuries.,107,42SUC8094378086,Ambush
Explosive Device,US Military convoy,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,108,41RPQ8367373477,IED Found/Cleared
Ambush,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Railway Station damged in attack,Arsonist sets fire to Railway Station,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,3,0,3,0,Minor injuries,,Afghanistan Government,An arsonist set fire to Railway Station. 5 people were killed in the attack. 3 people suffered minor injuries.,109,42STC9116726080,Arson
Explosive Device,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Railway Station,Railway Station target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,5,0,5,0,Major injuries,,Afghanistan Government,Explosive device detonated. 5 people were killed in the attack. The attackers seriously injured 5 people.,110,41SPS7106078329,Explosion
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,An explosive device was discovered and disarmed.,111,41SPS5568127655,IED Found/Cleared
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Suicide bomber strikes,Taliban,Militant Islamist,South Asia,Afghanistan,1,1,2,3,0,3,0,Minor injuries,Suicide bomber killed in attack;,Afghanistan Government,A suicide bomber detonated an IED at a public gathering. 2 people were killed in the attack. 3 people suffered minor injuries.,112,41SPS4330446101,Person Born IED (PBIED)
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,N,Investigation,Micro,0,No known physical damage,None,Looting of civilian homes,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Civilian homes in the area were looted.,113,42SWE7401296767,Looting
Ambush,Court Building,Government,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Court Building destroyed in attack,Arsonist sets fire to Court Building,Taliban,Militant Islamist,South Asia,Afghanistan,5,0,5,4,0,4,0,Major and minor injuries,,Afghanistan Government,An arsonist set fire to Court Building. 5 people were killed in the attack. 4 people suffered minor injuries.,114,41SPS7804554067,Arson
Multimode Attack,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,3,Damage to a vehicle,Vehicle exterior damaged in blast,Grenades thrown at US Military convoy,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,0,0,0,0,None,,US Military,Grenades thrown at US Military convoy. 2 people were killed in the attack.,115,41SPS3141601778,IDF/Grenade
Explosive Device,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Railway Station,Railway Station target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,3,0,3,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 3 people suffered minor injuries.,116,41RMR8951812966,Explosion
Explosive Device,US Military convoy,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,Destruction of a vehicle,Blast destroyed vehicle beyond repair,US Military convoy target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,1,0,1,0,Major injury,,US Military,Explosive device detonated. 5 people were killed in the attack. One individual suffered minor injuries.,117,42SVA4560566093,IED
Explosive Device,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,Y,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Railway Station,Railway Station target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,1,0,1,0,Minor injury,,Afghanistan Government,Explosive device detonated. 2 people were killed in the attack. One individual suffered minor injuries.,118,41SPS5605028281,Bombing
Standoff Weapon,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Rocket fired at Afghan Security Post,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,4,0,4,0,Major and minor injuries,,Afghanistan Government,A rocket was fired at Afghan Security Post. 2 people were killed in the attack. 4 people suffered minor injuries.,119,42SVC7907795729,Rocket
Explosive Device,US Soldiers,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,US Soldiers target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,6,0,6,0,Major and minor injuries,,US Military,Explosive device detonated. 4 people were killed in the attack. 6 people suffered minor injuries.,120,41SQT0469319899,House Borne IED (HBIED) Explosion
Ambush,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Railway Station damged in attack,Arsonist sets fire to Railway Station,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,2,0,2,0,Major injuries,,Afghanistan Government,An arsonist set fire to Railway Station. 3 people were killed in the attack. The attackers seriously injured 2 people.,121,42SUD1701152922,Arson
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,1,No known physical damage,None,Afghan Soldiers attacked by snipers,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,122,41RMR0622115941,Sniper Ops
Explosive Device,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Bus Station,Bus Station target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,0,Major injury,,Afghanistan Government,Explosive device detonated. One individual suffered minor injuries.,123,41SNV6401572557,Explosion
Explosive Device,US Soldiers,Military,People,Group,United States,N,N,Other,Micro,2,No known physical damage,None,Grenades thrown at US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,3,0,3,0,Major and minor injuries,,US Military,Grenades thrown at US Soldiers. 2 people were killed in the attack. 3 people suffered minor injuries.,124,41SNT6407188895,Grenade
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,125,42SWD4499502420,House Borne IED (HBIED) Found/Cleared
Explosive Device,US Military convoy,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,126,42SVC0359678570,House Borne IED (HBIED) Found/Cleared
Explosive Device,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,A hoax IED was discovered and removed from the premises.,127,41SPV3897470253,Hoax IED
Explosive Device,Court Building,Government,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Court Building,Court Building target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,4,0,4,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. One person was killed in the attack. 4 people suffered minor injuries.,128,42STE6066067303,Explosion (Reported)
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Civilian carjacked,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,2,None,Hostages taken;,Afghanistan Government,A carjacking occured.,129,41RQQ6086007091,Carjacking
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,130,42SUB9533872313,Murder
Explosive Device,US Military convoy,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,131,42SVF6512569391,IED Pre-detonation
Explosive Device,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,7,0,7,2,0,2,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 7 people were killed in the attack. 2 people suffered minor injuries.,132,41SPS6904444740,IED
Ambush,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,No known physical damage,None,Al-Qaeda attacks Afghan Police,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,1,6,1,3,4,0,Minor injury,Target killed in counterattack; Target wounded in counterattack;,Afghanistan Government,Afghan Police came under attack. 6 people were killed in the attack. 4 people suffered minor injuries.,133,42SUE4610236897,Attack
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,8,0,8,0,Major injuries,,Afghanistan Government,Drive by shooting occured. The attackers seriously injured 8 people.,134,41SPS5341097448,Drive by Shooting
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,No known physical damage,None,Afghan Soldiers attacked by snipers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,135,42SWD0993164096,Sniper Ops
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Taliban,Militant Islamist,South Asia,Afghanistan,5,0,5,2,0,2,0,Major and minor injuries,,Afghanistan Government,Drive by shooting occured. 5 people were killed in the attack. 2 people suffered minor injuries.,136,41SLT5765752884,Drive by Shooting
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,4,0,4,0,Major injuries,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 5 people were killed in the attack. The attackers seriously injured 4 people.,137,42SVC6426023871,Booby Trapped Building
Explosive Device,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,A hoax IED was discovered and removed from the premises.,138,41SPS6072828705,Hoax IED
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,139,42SWD3731507671,Murder
Other,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,Y,Other,Micro,1,Damage to a building,Blast caused partial structural damage to Bus Station,Vehicle born IED explodes near Bus Station,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,1,0,1,0,Major injury,,Afghanistan Government,Vehicle born IED detonated.4 people were killed in the attack. One individual suffered minor injuries.,140,41SMS3052777724,Vehicle Born IED (VBIED)
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,141,42STB4388154617,Hoax IED
Other,Court Building,Government,Building,Building,Afghanistan,N,Y,Other,Micro,1,Damage to a building,Blast caused partial structural damage to Court Building,Vehicle born IED explodes near Court Building,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,5,0,5,0,Major injuries,,Afghanistan Government,Vehicle born IED detonated.3 people were killed in the attack. The attackers seriously injured 5 people.,142,41RPQ1007102123,Vehicle Born IED (VBIED)
Ambush,US Military convoy,Military,People,Group,United States,N,N,Attack,Macro,1,Damage to a vehicle,Vehicle wheel damaged in attack,Combat between US Military convoy and members of Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,4,9,2,2,4,0,Major and minor injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military convoy engaged in combat. 9 people were killed in the attack. 4 people suffered minor injuries.,143,42SUB8322998931,Combat
Other,Afghan Police,Military,People,<Null>,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,,144,42SVF7764769628,Accident
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Civilian carjacked,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,3,Major injury,Hostages taken;,Afghanistan Government,A carjacking occured. One person was killed in the attack. One individual suffered minor injuries.,145,42SXE0870282164,Carjacking
Assault,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,2,No known physical damage,None,Militants throw rocks at US Military convoy,Taliban,Militant Islamist,South Asia,Afghanistan,0,3,3,0,1,1,0,None,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military convoy attacked by group of rock throwing militants. 3 people were killed in the attack. One individual suffered minor injuries.,146,42SVD7842744309,Rock Throwing
Multimode Attack,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Macro,2,No known physical damage,None,US Military Checkpoint fired on byAl-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,3,7,3,1,4,0,Major injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military Checkpoint came under attack. 7 people were killed in the attack. The attackers seriously injured 4 people.,147,42SUC8434392096,IDF/Small Arms Fire (SAF)
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,148,42SVD3341944821,Unexploded Ordnance (UXO)
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,149,42STA2580573209,Unexploded Ordnance (UXO)
Explosive Device,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Macro,1,Damage to a building,Blast caused partial structural damage to Market,Market target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,7,0,7,5,0,5,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 7 people were killed in the attack. 5 people suffered minor injuries.,150,42SVC1357572224,Explosion
Multimode Attack,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,3,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Grenades thrown at US Military convoy,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,3,0,3,0,Major injuries,,US Military,Grenades thrown at US Military convoy. 2 people were killed in the attack. The attackers seriously injured 3 people.,151,41RMP5586978937,IDF/Grenade
